Model,aic value
"ARIMA (0,1,0)×(1,1,1)12",765.3372
" ARIMA (1,1,0)×(1,1,1)12",763.8883
"ARIMA (0,1,1)×(0,1,1)12",764.0646
"ARIMA (1,1,1)×(1,1,1)12",765.2669
"ARIMA (1,1,2)×(1,1,1)12",765.38
"ARIMA (1,1,2)×(2,1,1)12",757.6896
"ARIMA (1,1,2)×(0,1,1)12",764.9509
"ARIMA (0,1,2)×(0,1,1)12",764.6481
"ARIMA (0,1,2)×(3,1,1)12",757.2819
"ARIMA (0,1,2)×(1,1,1)12",765.1054
"ARIMA (0,1,1)×(3,1,1)12",756.9207
"ARIMA (2,1,2)×(2,1,1)12",748.4358
"ARIMA (2,1,1) × (2,1,1)12",758.0181
"ARIMA (2,1,2) × (3,1,1)12",759.7821
"ARIMA (2,1,1)×(1,1,1)12",765.7656
"ARIMA (2,1,1)×(0,1,1)12",765.3081
"ARIMA (2,1,2)×(1,1,1)12",755.2867
"ARIMA (2,1,2)×(0,1,1)12",756.6868
